,force,rate_s,rate
0,0.0,2.5703957827688646e-09,2.5703957827688647e-21
1,0.030303030303030304,5.698460940010991e-09,5.6984609400109915e-21
2,0.06060606060606061,1.2633251774888609e-08,1.2633251774888608e-20
3,0.09090909090909091,2.8007395696462972e-08,2.800739569646297e-20
4,0.12121212121212122,6.209123570682332e-08,6.209123570682332e-20
5,0.15151515151515152,1.376536966658123e-07,1.376536966658123e-19
6,0.18181818181818182,3.051725415038112e-07,3.051725415038112e-19
7,0.21212121212121213,6.765548789727871e-07,6.765548789727871e-19
8,0.24242424242424243,1.4998941320419096e-06,1.4998941320419096e-18
9,0.2727272727272727,3.325203139100031e-06,3.3252031391000313e-18
10,0.30303030303030304,7.3718375717812e-06,7.3718375717812e-18
11,0.33333333333333337,1.6343058427231392e-05,1.6343058427231393e-17
12,0.36363636363636365,3.623188332015328e-05,3.6231883320153285e-17
13,0.3939393939393939,8.032458396757925e-05,8.032458396757924e-17
14,0.42424242424242425,0.0001780762742182896,1.7807627421828958e-16
15,0.4545454545454546,0.0003947877209331926,3.947877209331926e-16
16,0.48484848484848486,0.0008752280183522437,8.752280183522437e-16
17,0.5151515151515151,0.0019403442495579159,1.940344249557916e-15
18,0.5454545454545454,0.004301662798547701,4.301662798547702e-15
19,0.5757575757575758,0.009536608174876834,9.536608174876834e-15
20,0.6060606060606061,0.021142265151938965,2.1142265151938966e-14
21,0.6363636363636364,0.046871525762425134,4.687152576242513e-14
22,0.6666666666666667,0.1937413056677354,1.937413056677354e-13
23,0.696969696969697,0.9382501466261463,9.382501466261462e-13
24,0.7272727272727273,2.8876010434945014,2.8876010434945013e-12
25,0.7575757575757576,5.043444809833361,5.043444809833362e-12
26,0.7878787878787878,5.292201403618628,5.292201403618628e-12
27,0.8181818181818182,5.5532273579867635,5.553227357986763e-12
28,0.8484848484848485,5.827127831606414,5.827127831606414e-12
29,0.8787878787878788,6.1145378312391125,6.114537831239113e-12
30,0.9090909090909092,6.416123683929437,6.416123683929437e-12
31,0.9393939393939394,6.732584581807683,6.732584581807683e-12
32,0.9696969696969697,7.064654203086442,7.064654203086442e-12
33,1.0,7.413102413009174,7.413102413009174e-12
34,1.0303030303030303,7.778737048694308,7.778737048694307e-12
35,1.0606060606060606,8.162405792012699,8.162405792012699e-12
36,1.0909090909090908,8.564998134840634,8.564998134840635e-12
37,1.1212121212121213,8.987447441244468,8.987447441244469e-12
38,1.1515151515151516,9.430733111377924,9.430733111377924e-12
39,1.1818181818181819,9.89588285210876,9.89588285210876e-12
40,1.2121212121212122,10.383975059639022,1.0383975059639022e-11
41,1.2424242424242424,10.896141319642625,1.0896141319642625e-11
42,1.2727272727272727,11.433569030716704,1.1433569030716704e-11
43,1.303030303030303,11.997504157228725,1.1997504157228726e-11
44,1.3333333333333335,12.589254117941675,1.2589254117941675e-11
45,1.3636363636363638,13.210190817114109,1.3210190817114109e-11
46,1.393939393939394,13.861753825102548,1.3861753825102548e-11
47,1.4242424242424243,14.545453715839788,1.4545453715839788e-11
48,1.4545454545454546,15.262875568926964,1.5262875568926963e-11
49,1.4848484848484849,16.015682644458348,1.601568264445835e-11
50,1.5151515151515151,16.805620239098726,1.6805620239098727e-11
51,1.5454545454545454,17.634519732353024,1.7634519732353024e-11
52,1.5757575757575757,18.50430283240922,1.850430283240922e-11
53,1.6060606060606062,19.416986031397823,1.9416986031397822e-11
54,1.6363636363636365,20.37468528039708,2.037468528039708e-11
55,1.6666666666666667,21.379620895022313,2.1379620895022314e-11
56,1.696969696969697,22.43412270297246,2.243412270297246e-11
57,1.7272727272727273,23.540635445467693,2.3540635445467694e-11
58,1.7575757575757576,24.70172444510101,2.470172444510101e-11
59,1.7878787878787878,25.920081553243634,2.5920081553243633e-11
60,1.8181818181818183,27.19853139079312,2.719853139079312e-11
61,1.8484848484848486,28.54003789673203,2.854003789673203e-11
62,1.878787878787879,29.947711199679915,2.9947711199679914e-11
63,1.9090909090909092,31.424814828368834,3.142481482836883e-11
64,1.9393939393939394,32.97477327775971,3.297477327775971e-11
65,1.9696969696969697,34.60117994834006,3.460117994834006e-11
66,2.0,36.30780547701012,3.630780547701012e-11
67,2.0303030303030303,38.098606478870884,3.809860647887088e-11
68,2.0606060606060606,39.97773472018146,3.997773472018146e-11
69,2.090909090909091,41.949546743751895,4.19495467437519e-11
70,2.121212121212121,44.01861396908675,4.401861396908675e-11
71,2.1515151515151514,46.1897332906959,4.61897332906959e-11
72,2.1818181818181817,48.46793819914278,4.8467938199142776e-11
73,2.2121212121212124,50.8585104506139,5.08585104506139e-11
74,2.2424242424242427,53.3669923120631,5.3366992312063096e-11
75,2.272727272727273,55.999199410320564,5.599919941032056e-11
76,2.303030303030303,58.76123421495512,5.876123421495512e-11
77,2.3333333333333335,61.65950018614819,6.165950018614819e-11
78,2.3636363636363638,64.70071662038038,6.470071662038037e-11
79,2.393939393939394,67.8919342283477,6.78919342283477e-11
80,2.4242424242424243,71.24055148122389,7.12405514812239e-11
81,2.4545454545454546,74.75433176316548,7.475433176316548e-11
82,2.484848484848485,78.44142136982522,7.844142136982522e-11
83,2.515151515151515,82.31036839460238,8.231036839460238e-11
84,2.5454545454545454,86.3701425464143,8.63701425464143e-11
85,2.5757575757575757,90.63015594493581,9.06301559449358e-11
86,2.606060606060606,95.1002849415163,9.51002849415163e-11
87,2.6363636363636362,99.79089301636535,9.979089301636535e-11
88,2.666666666666667,104.71285480508996,1.0471285480508997e-10
89,2.6969696969696972,109.8775813102871,1.098775813102871e-10
